Kuzey aksanı.	'Bugün'de vurgu ikinci hecededir.	aksan-vurgu
Bu güzel hayvanların hayatta kalması için harekete geçme zamanı geldi.	Çatışmada 5 asker öldürüldü.	hareket-çatışma
Bu senin ev adresin mi?	Politika düşük gelirli insanların ihtiyaçlarını karşılamada başarısız oluyor.	adres-karşılama
Yanardağın külleri geniş bir alana düştü.	Dişbudak ağaçları burada bulunmaktadır.	kül-dişbudak
Şiddetli sırt ağrısı nedeniyle yatıyordu.	Adam sıranın en arkasına gitmeyi reddediyordu.	sırt-arka
Turistler adadaki doğanın hassas dengesini sıklıkla bozuyor.	Banka bakiyemi kontrol etmem gerekiyor.	denge-bakiye
Topu ağlara gönderdi.	Onunla baloda tanıştı.	top-balo
Ay sonunda bankada fazla param kalmıyor.	Nehir kıyısı boyunca dolaştık.	banka-kıyı
Bölge restoran ve barlarla doludur.	Bir kalıp çikolata alacağım.	bar-kalıp
Yaz aylarında kabuğu soyulur.	Köpek yüksek sesle havladı.	kabuk-havlamak
Müzik setini her zaman bas sesi açık şekilde çalıyor.	Taze levrek harika bir lezzettir.	bas-levrek
Bana beyzbol sopasını ver.	Yarasalar gökyüzünde uçuyordu.	sopa-yarasa
Körfezin karşısında muhteşem bir manzara vardı.	Bu bir defne ağacıydı.	körfez-defne
Değişikliklerin çoğunun sorumluluğunu üstlendi.	Küçük bir ayı yavrusu önümüzde yolun karşısına koştu.	üstlenmek-ayı
Toplanan kalabalığa reverans yaptı.	Bir yay ve okla silahlanmıştı.	reverans-yay
Kızımın dişlerine tel takması gerekiyor.	Kendilerini uzun bir hukuk mücadelesine hazırlıyorlar.	tel-hazırlamak
O çok sanatsal, pasta harika görünüyor.	Kendisi çok parlak bir genç bilim insanıdır.	harika-parlak
Kahire Mısır'ın başkentidir.	Proje için sermayenin nasıl artırılacağı konusunda çeşitli fikirleri vardı.	başkent-sermaye
Sanırım oydu ama emin olamıyorum.	Orada bulunanlardan bazıları konuyu daha fazla tartışmak istemedi.	emin-bazı
Piyangoyu kazanmasıyla hayatı tamamen değişti.	Para-üstünüzü almayı unutmayın!	değişmek-paraüstü
Kurşun göğsüne isabet etti.	Ecza kutusu orada.	göğüs-kutu
Plajın bu kadar yakın olduğunu bilmiyordum.	Kapıyı sertçe kapattı.	yakın-kapatmak
Yerel bir kano kulübüne katıldım.	Golf sopası vardı.	kulüp-sopa
Tüm çalışanların yazılı bir iş sözleşmesi vardır.	Cam soğudukça büzülür.	sözleşme-büzülmek
Rumenlerle Fransızca konuştu.	Yeni yollar inşa etmek trafiği artırır ve bunun tersi de aynı derecede doğrudur, Yolların sayısını ve boyutunu azaltmak, daha az trafik anlamına gelir.	konuşmak-tersi
Bugünün tarihini sayfanın en üstüne yazın.	Hurma yiyorum.	tarih-hurma
Varsayılan elli satırdır.	Şirket kredide temerrüde düşmüş durumda.	varsayılan-temerrüt
Sıcaklıkların 2 derecenin altına düşmesi bekleniyor.	Biyokimya alanında lisans eğitimine devam ediyor.	derece-eğitim
Somali çoğunlukla çöldür.	Kocası tarafından terk-edilmişti.	çöl-terkedilmek
Öğrenciler indirimli bilet alabilirler.	Daha fazla grev olasılığını gözardı-edemeyiz.	indirim-gözardıetmek
Makarnayı süzüp durulayın.	Giderin açılması için tesisatçı çağırmak zorunda kaldık.	süzmek-gider
Üst çekmecededir.	Uzman bir çizimci ve ressamdır.	çekmece-çizimci
Her öğleden sonra ördekleri beslemek için parka gidiyorlardı.	Bizi görmesinler diye duvarın arkasına eğildik.	ördek-eğilmek
Hem akla hem göze hitap-eden bir film.	İspanyol tahtının varisi ile evlenmek üzere nişanlıydı.	hitapetmek-nişanlı
Sonunda mağaranın girişine ulaştık.	Kuşun güzelliğinden büyülendim.	giriş-büyülenmek
Mektubu açmadı bile.	4, 6, 8 ve 10 sayıları çift sayılardır.	bile-çift
Umutsuzca iyi bir bahane bulmaya çalıştım.	Lütfen karışıklığı affedin.	bahane-affetmek
Muhalefet partileri her zaman hükümetin sorunlarını kendi çıkarlarına kullanacaklardır.	Cesareti ve başarıları efsaneydi.	kullanmak-başarı
Yapraklar ağaçlardan düşüyordu.	Güz dönemine bir ay kala okula döndü.	düşmek-güz
Film hayranları onun çalışmalarına zaten aşina olacak.	Fanı çalıştırın, çok sıcak.	hayran-fan
Bu oldukça yaygın bir sorundur.	Bana her zaman çok adil davrandı.	oldukça-adil
Masamda bir yığın dosya beni bekliyordu.	Tırnaklarım için bir törpüye ihtiyacım var.	dosya-törpü
Bu sabah kalktığımda kendimi iyi hissediyordum.	Çift sarı çizgiye park ettiğim için park cezası aldım.	iyi-ceza
Cihazlarının bir modelini üretmek için bir mühendislik firmasıyla anlaştılar.	Bu şeftaliler hala sert.	firma-sert
Kayıklar nehrin aşağısında yavaşça yüzüyordu.	Şirket 2014 yılında borsaya açıldı.	yüzmek-açılmak
Sam yanaklarının kızardığını hissetti.	Uyuşturucuyu tuvalete attılar.	kızarmak-atmak
Kazlar sonbaharda güneye uçarlar.	Pencerenin önünde bir sinek vızıldıyordu.	uçmak-sinek
Çok komik bir adam olmasının yanı sıra nazik bir insandı.	İşin garip tarafı bundan sonra bir daha böyle bir şey yaşanmadı.	komik-garip
Anneannemin mezarını ziyaret ettik.	Büyük bir tehlike altındaydık.	mezar-büyük
Onun sadece dokuz yaşında olduğuna inanmak zor.	Elmas bilinen en sert mineraldir.	zor-sert
